iter	Passed	Remaining
0	163	163140
1	167	83359
2	170	56602
3	174	43405
4	176	35180
5	179	29771
6	182	25905
7	185	22959
8	188	20779
9	192	19067
10	196	17662
11	199	16445
12	202	15409
13	205	14499
14	210	13799
15	213	13100
16	216	12501
17	219	11973
18	224	11572
19	226	11106
20	230	10723
21	233	10382
22	237	10098
23	240	9794
24	243	9492
25	246	9245
26	250	9019
27	254	8823
28	256	8598
29	259	8401
30	262	8218
31	266	8075
32	269	7910
33	272	7749
34	275	7605
35	279	7471
36	283	7387
37	287	7269
38	290	7168
39	294	7057
40	297	6961
41	300	6851
42	302	6740
43	305	6641
44	308	6557
45	312	6484
46	315	6403
47	318	6313
48	320	6229
49	324	6165
50	328	6108
51	331	6051
52	335	6002
53	339	5951
54	343	5903
55	347	5862
56	352	5825
57	356	5787
58	359	5730
59	362	5673
60	364	5618
61	368	5580
62	371	5518
63	373	5462
64	375	5408
65	379	5366
66	381	5317
67	385	5286
68	388	5237
69	390	5192
70	394	5160
71	397	5121
72	400	5089
73	403	5047
74	406	5007
75	409	4983
76	413	4951
77	416	4922
78	419	4887
79	421	4849
80	425	4824
81	428	4796
82	431	4769
83	434	4736
84	437	4705
85	440	4681
86	444	4659
87	447	4638
88	450	4609
89	452	4578
90	456	4557
91	459	4539
92	463	4517
93	465	4489
94	468	4463
95	472	4448
96	476	4432
97	479	4416
98	482	4390
99	485	4369
100	489	4353
101	493	4341
102	495	4316
103	498	4291
104	501	4272
105	504	4255
106	508	4242
107	511	4221
108	513	4199
109	516	4180
110	520	4165
111	523	4150
112	526	4130
113	528	4111
114	531	4093
115	535	4079
116	539	4069
117	541	4050
118	544	4031
119	547	4012
120	550	4000
121	554	3990
122	557	3972
123	559	3954
124	562	3935
125	565	3925
126	569	3915
127	572	3898
128	574	3882
129	577	3865
130	581	3857
131	585	3849
132	588	3833
133	590	3818
134	593	3803
135	596	3792
136	601	3788
137	604	3777
138	607	3764
139	611	3755
140	614	3743
141	617	3734
142	620	3720
143	624	3713
144	629	3709
145	633	3702
146	635	3688
147	638	3674
148	641	3665
149	645	3656
150	648	3643
151	650	3630
152	653	3615
153	656	3605
154	659	3596
155	663	3589
156	666	3578
157	668	3564
158	672	3556
159	675	3547
160	679	3539
161	681	3527
162	684	3514
163	687	3506
164	691	3498
165	694	3490
166	697	3480
167	700	3467
168	703	3458
169	706	3450
170	709	3438
171	711	3427
172	714	3414
173	717	3403
174	720	3396
175	724	3390
176	726	3380
177	729	3368
178	731	3357
179	735	3349
180	738	3342
181	741	3334
182	744	3323
183	747	3313
184	751	3309
185	753	3298
186	756	3288
187	758	3277
188	761	3266
189	765	3262
190	768	3254
191	771	3248
192	774	3238
193	776	3228
194	780	3221
195	783	3215
196	786	3207
197	789	3197
198	792	3188
199	795	3181
200	798	3174
201	801	3164
202	803	3154
203	806	3145
204	808	3135
205	812	3130
206	815	3124
207	818	3118
208	821	3108
209	823	3099
210	827	3095
211	830	3086
212	832	3077
213	835	3068
214	838	3060
215	842	3057
216	845	3052
217	849	3046
218	851	3037
219	854	3029
220	858	3024
221	860	3016
222	863	3008
223	865	2999
224	868	2991
225	871	2985
226	874	2978
227	879	2976
228	881	2968
229	884	2959
230	887	2954
231	890	2949
232	893	2940
233	895	2932
234	898	2924
235	900	2916
236	904	2912
237	907	2905
238	909	2896
239	912	2889
240	914	2881
241	918	2876
242	921	2870
243	924	2863
244	926	2855
245	929	2847
246	931	2840
247	935	2838
248	938	2830
249	941	2823
250	943	2815
251	946	2808
252	950	2805
253	953	2800
254	956	2793
255	958	2786
256	961	2778
257	965	2775
258	968	2771
259	971	2765
260	974	2757
261	976	2750
262	980	2746
263	984	2743
264	986	2737
265	989	2730
266	991	2723
267	994	2717
268	998	2714
269	1001	2707
270	1003	2700
271	1006	2694
272	1009	2687
273	1012	2683
274	1015	2677
275	1018	2671
276	1020	2664
277	1023	2658
278	1027	2655
279	1030	2649
280	1033	2643
281	1035	2636
282	1038	2630
283	1042	2627
284	1045	2622
285	1048	2617
286	1051	2612
287	1054	2607
288	1058	2605
289	1061	2598
290	1064	2592
291	1066	2585
292	1068	2579
293	1072	2574
294	1075	2570
295	1078	2564
296	1081	2559
297	1083	2552
298	1086	2546
299	1090	2543
300	1092	2537
301	1095	2531
302	1097	2525
303	1100	2519
304	1104	2516
305	1107	2510
306	1109	2504
307	1112	2499
308	1114	2493
309	1118	2489
310	1122	2485
311	1124	2479
312	1127	2474
313	1129	2467
314	1132	2461
315	1135	2458
316	1138	2452
317	1141	2447
