iter	Passed	Remaining
0	7	7252
1	11	5497
2	14	4654
3	16	4124
4	19	3864
5	22	3727
6	24	3545
7	27	3402
8	30	3334
9	32	3250
10	36	3303
11	39	3276
12	42	3212
13	44	3148
14	47	3088
15	50	3078
16	53	3117
17	56	3072
18	58	3035
19	60	2986
20	63	2953
21	65	2933
22	69	2938
23	71	2906
24	73	2869
25	76	2858
26	78	2842
27	81	2823
28	84	2824
29	86	2803
30	88	2779
31	91	2754
32	93	2732
33	95	2726
34	98	2715
35	101	2722
36	104	2709
37	106	2691
38	108	2673
39	110	2657
40	112	2642
41	116	2649
42	118	2639
43	120	2625
44	123	2611
45	126	2616
46	128	2601
47	130	2588
48	133	2600
49	136	2593
50	138	2581
51	141	2571
52	143	2558
53	145	2547
54	148	2553
55	150	2543
56	153	2533
57	155	2522
58	157	2517
59	160	2513
60	163	2514
61	167	2533
62	173	2584
63	179	2619
64	184	2659
65	189	2675
66	193	2688
67	197	2708
68	202	2728
69	206	2738
70	209	2745
71	213	2751
72	217	2763
73	220	2761
74	223	2758
75	226	2753
76	229	2746
77	231	2736
78	234	2729
79	236	2718
80	238	2706
81	240	2695
82	242	2683
83	245	2673
84	247	2667
85	250	2666
86	253	2660
87	256	2654
88	258	2645
89	260	2636
90	263	2628
91	265	2625
92	268	2614
93	270	2605
94	272	2596
95	275	2590
96	277	2584
97	280	2584
98	283	2579
99	285	2572
100	288	2564
101	290	2555
102	292	2547
103	294	2538
104	297	2538
105	300	2530
106	302	2522
107	304	2514
108	306	2506
109	308	2497
110	310	2489
111	314	2490
112	316	2482
113	319	2481
114	322	2478
115	324	2474
116	327	2473
117	330	2472
118	332	2464
119	335	2457
120	337	2450
121	339	2443
122	341	2435
123	343	2429
124	346	2425
125	348	2418
126	351	2413
127	353	2406
128	355	2399
129	357	2393
130	360	2392
131	362	2386
132	365	2383
133	367	2377
134	370	2371
135	372	2365
136	374	2358
137	377	2359
138	380	2357
139	382	2351
140	384	2345
141	387	2339
142	389	2333
143	391	2328
144	394	2326
145	396	2321
146	399	2315
147	401	2309
148	403	2303
149	405	2297
150	408	2296
151	410	2292
152	413	2286
153	415	2281
154	417	2275
155	419	2269
156	421	2263
157	424	2263
158	427	2259
159	429	2253
160	431	2248
161	433	2242
162	435	2237
163	437	2231
164	441	2232
165	443	2230
166	446	2225
167	448	2220
168	450	2215
169	452	2210
170	455	2206
171	458	2205
172	460	2201
173	462	2196
174	464	2191
175	466	2186
176	469	2181
177	471	2178
178	474	2176
179	476	2171
180	478	2166
181	480	2161
182	483	2157
183	485	2152
184	487	2148
185	490	2146
186	492	2142
187	494	2137
188	497	2133
189	499	2128
190	501	2124
191	504	2121
192	506	2118
193	508	2113
194	510	2109
195	513	2104
196	515	2100
197	517	2096
198	520	2093
199	522	2090
200	524	2085
201	526	2081
202	528	2076
203	531	2072
204	533	2068
205	536	2067
206	538	2063
207	540	2059
208	543	2055
209	545	2051
210	547	2047
211	549	2043
212	552	2041
213	554	2038
214	557	2034
215	559	2030
216	561	2027
217	564	2024
218	566	2020
219	569	2020
220	572	2016
221	574	2013
222	577	2011
223	579	2007
224	581	2003
225	584	2002
226	587	1999
227	589	1995
228	591	1991
229	593	1987
230	595	1984
231	598	1980
232	601	1978
233	603	1975
234	605	1971
235	608	1968
236	610	1965
237	612	1961
238	614	1957
239	617	1956
240	620	1953
241	622	1949
242	624	1945
243	626	1941
244	628	1937
245	630	1933
246	634	1932
247	636	1929
248	638	1926
249	640	1922
250	642	1918
251	644	1914
252	646	1910
253	650	1909
254	652	1906
255	654	1902
256	656	1899
257	659	1896
258	661	1892
259	663	1889
260	666	1888
261	669	1886
262	672	1883
263	674	1879
264	676	1876
265	678	1872
266	681	1871
267	684	1868
268	686	1865
269	688	1861
270	690	1858
271	693	1854
272	695	1851
273	698	1850
274	700	1847
275	702	1843
276	705	1840
277	707	1837
278	709	1833
279	711	1830
280	715	1829
281	717	1826
282	719	1823
283	721	1819
284	724	1816
285	726	1813
286	728	1811
287	731	1808
288	733	1805
289	736	1802
290	738	1798
291	740	1795
292	742	1791
293	745	1790
294	748	1787
295	750	1784
296	752	1781
297	754	1777
298	756	1774
299	759	1771
300	762	1771
301	765	1768
302	767	1764
303	769	1761
304	771	1758
305	773	1754
306	776	1752
307	779	1751
308	781	1747
309	783	1744
310	785	1741
311	787	1737
312	790	1734
313	792	1732
314	795	1730
315	798	1727
316	800	1724
317	802	1720
318	804	1717
319	806	1714
320	809	1713
321	812	1710
322	814	1706
323	816	1703
324	818	1700
325	820	1697
326	823	1694
327	826	1694
328	829	1690
329	831	1687
330	833	1684
331	835	1681
332	838	1678
333	840	1676
334	843	1674
335	845	1671
336	848	1668
337	850	1665
338	852	1661
339	854	1658
340	856	1655
341	859	1654
342	861	1651
343	864	1647
344	866	1644
345	868	1641
346	870	1638
347	872	1635
348	875	1633
349	877	1630
350	879	1627
351	882	1623
352	884	1621
353	887	1619
354	890	1617
355	892	1615
356	894	1611
357	897	1608
358	899	1605
359	901	1602
360	903	1599
361	906	1597
362	908	1594
363	910	1591
364	913	1588
365	915	1586
366	917	1582
367	919	1579
368	922	1577
369	925	1575
370	927	1571
371	929	1568
372	931	1565
373	933	1562
374	935	1559
375	938	1557
376	940	1554
377	943	1551
378	945	1548
379	947	1545
380	949	1542
381	951	1540
382	954	1538
383	957	1535
384	959	1532
385	961	1530
386	964	1527
387	966	1524
388	968	1521
389	971	1519
390	973	1516
391	976	1514
392	978	1511
393	980	1508
394	983	1505
395	986	1503
396	988	1501
397	991	1499
398	993	1496
399	995	1493
400	997	1490
401	999	1487
402	1002	1485
403	1005	1482
404	1007	1480
405	1009	1477
406	1011	1474
407	1014	1471
408	1016	1468
409	1019	1467
410	1021	1464
411	1024	1461
412	1026	1458
413	1028	1455
414	1030	1452
415	1032	1449
416	1035	1448
417	1038	1445
418	1040	1442
419	1042	1439
420	1044	1436
421	1046	1433
422	1049	1431
423	1052	1429
424	1054	1426
425	1056	1423
426	1058	1420
427	1061	1418
428	1063	1415
429	1065	1412
430	1068	1410
431	1070	1408
432	1073	1405
433	1075	1402
434	1077	1399
435	1079	1396
436	1082	1394
437	1084	1392
438	1087	1389
439	1089	1386
440	1091	1383
441	1093	1380
442	1095	1377
443	1097	1374
444	1101	1373
445	1103	1370
446	1105	1367
447	1107	1364
448	1109	1361
449	1111	1359
450	1114	1356
451	1117	1354
452	1119	1351
453	1121	1348
454	1123	1346
455	1125	1343
456	1128	1340
457	1130	1338
458	1133	1335
459	1135	1333
460	1137	1330
461	1139	1327
462	1141	1324
463	1144	1321
464	1147	1320
465	1149	1317
466	1152	1314
467	1154	1312
468	1156	1309
469	1158	1306
470	1161	1304
471	1164	1303
472	1166	1300
473	1169	1297
474	1171	1294
475	1174	1292
476	1176	1290
477	1179	1288
478	1182	1285
479	1184	1282
480	1186	1279
481	1188	1277
482	1192	1276
483	1195	1274
484	1197	1271
485	1199	1269
486	1202	1266
487	1205	1264
488	1207	1261
489	1209	1259
490	1212	1257
491	1215	1254
492	1217	1251
493	1219	1249
494	1221	1246
495	1223	1243
496	1226	1241
497	1229	1239
498	1231	1236
499	1233	1233
500	1236	1231
501	1238	1228
502	1240	1225
503	1242	1223
504	1245	1220
505	1247	1218
506	1249	1215
507	1252	1212
508	1254	1210
509	1256	1207
510	1259	1205
511	1262	1202
512	1264	1200
513	1266	1197
514	1268	1194
515	1270	1192
516	1273	1189
517	1275	1187
518	1278	1184
519	1280	1182
520	1283	1179
521	1285	1177
522	1287	1174
523	1289	1171
524	1293	1169
525	1295	1167
526	1297	1164
527	1299	1161
528	1301	1159
529	1304	1156
530	1306	1153
531	1309	1151
532	1311	1149
533	1313	1146
534	1316	1143
535	1318	1141
536	1320	1138
537	1322	1135
